tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
3841,2020-04-20 00:00:20.2860,2020-04-20 01:04:21.4310,3078,Broadway & Roebling St,40.70924826276157,-73.96063148975372,3078,Broadway & Roebling St,40.70924826276157,-73.96063148975372,42693,Subscriber,1987,1
400,2020-04-20 00:00:25.8690,2020-04-20 00:07:06.4700,127,Barrow St & Hudson St,40.73172428,-74.00674436,237,E 11 St & 2 Ave,40.73047309,-73.98672378,30077,Subscriber,1971,1
85,2020-04-20 00:00:47.0890,2020-04-20 00:02:12.2400,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,28697,Subscriber,1938,2
2563,2020-04-20 00:01:53.1470,2020-04-20 00:44:37.1350,3918,Avenue D & E 8 St,40.72387,-73.975767,394,E 9 St & Avenue C,40.72521311,-73.97768752,14613,Subscriber,1985,2
285,2020-04-20 00:03:23.0010,2020-04-20 00:08:08.7340,116,W 17 St & 8 Ave,40.74177603,-74.00149746,334,W 20 St & 7 Ave,40.74238787,-73.99726235,35301,Subscriber,1975,1
778,2020-04-20 00:03:26.2230,2020-04-20 00:16:24.4270,3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,3379,E 103 St & Lexington Ave,40.790305100000005,-73.94755757,16802,Customer,2000,1
1355,2020-04-20 00:04:22.5430,2020-04-20 00:26:58.0680,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,350,Clinton St & Grand St,40.71559509,-73.9870295,37544,Customer,1993,1
1031,2020-04-20 00:04:26.7110,2020-04-20 00:21:38.5200,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001,3733,Avenue C & E 18 St,40.730563000000004,-73.973984,36570,Subscriber,1999,1
1325,2020-04-20 00:04:31.0540,2020-04-20 00:26:36.9310,3844,Myrtle Ave & Linden St,40.69943,-73.91337,3839,Putnam Ave & Knickerbocker Ave,40.69545,-73.91164,19494,Subscriber,1984,1
250,2020-04-20 00:04:41.0700,2020-04-20 00:08:51.4300,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,20745,Subscriber,1992,1
84,2020-04-20 00:04:50.4880,2020-04-20 00:06:15.2110,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,41382,Subscriber,1938,2
1183,2020-04-20 00:04:57.2600,2020-04-20 00:24:40.5060,448,W 37 St & 10 Ave,40.75660359,-73.9979009,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,36587,Customer,1993,1
1007,2020-04-20 00:05:14.2310,2020-04-20 00:22:01.4210,3152,3 Ave & E 71 St,40.76873687,-73.96119945,3504,E 123 St & Lexington Ave,40.802926299999996,-73.9379,28818,Customer,1994,1
267,2020-04-20 00:05:32.0290,2020-04-20 00:09:59.3580,144,Nassau St & Navy St,40.69839895,-73.98068914,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,29355,Subscriber,1975,1
446,2020-04-20 00:05:40.4980,2020-04-20 00:13:06.9860,3146,E 81 St & 3 Ave,40.77573034,-73.9567526,3551,3 Ave & E 112 St,40.795508,-73.94160600000001,42692,Subscriber,1989,1
735,2020-04-20 00:06:06.9930,2020-04-20 00:18:22.5620,3772,Devoe St & Morgan Ave,40.713811,-73.93515,3873,Madison St & Cypress Ave,40.70068,-73.90742,38520,Subscriber,1981,1
2135,2020-04-20 00:06:24.0060,2020-04-20 00:41:59.8050,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,334,W 20 St & 7 Ave,40.74238787,-73.99726235,35088,Subscriber,1970,1
692,2020-04-20 00:06:32.6050,2020-04-20 00:18:05.5890,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,128,MacDougal St & Prince St,40.72710258,-74.00297088,28059,Subscriber,1985,1
103,2020-04-20 00:06:35.5230,2020-04-20 00:08:18.6450,3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,28697,Subscriber,1938,2
321,2020-04-20 00:06:35.8130,2020-04-20 00:11:57.6290,3307,West End Ave & W 94 St,40.7941654,-73.974124,3320,Central Park West & W 100 St,40.794066608185524,-73.96286845207214,21711,Subscriber,1981,1
2654,2020-04-20 00:06:57.7310,2020-04-20 00:51:12.6480,389,Broadway & Berry St,40.71044554,-73.96525063,361,Allen St & Hester St,40.71605866,-73.99190759,34916,Customer,1969,0
990,2020-04-20 00:07:07.2080,2020-04-20 00:23:37.3520,293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,379,W 31 St & 7 Ave,40.749156,-73.9916,41921,Subscriber,1979,1
1088,2020-04-20 00:07:08.2190,2020-04-20 00:25:17.2090,495,W 47 St & 10 Ave,40.76269882,-73.99301222,3746,6 Ave & Broome St,40.72430832160217,-74.00473035871983,37272,Customer,1972,1
210,2020-04-20 00:07:26.6160,2020-04-20 00:10:57.0990,342,Columbia St & Rivington St,40.71739973,-73.98016555,400,Pitt St & Stanton St,40.71926081,-73.98178024,41720,Subscriber,1960,1
2954,2020-04-20 00:07:33.1500,2020-04-20 00:56:47.1520,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,33147,Customer,1969,0
2513,2020-04-20 00:08:21.4540,2020-04-20 00:50:15.3120,389,Broadway & Berry St,40.71044554,-73.96525063,361,Allen St & Hester St,40.71605866,-73.99190759,35275,Customer,1969,0
87,2020-04-20 00:08:28.4130,2020-04-20 00:09:55.4650,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,32555,Subscriber,1938,2
847,2020-04-20 00:08:37.6180,2020-04-20 00:22:45.0540,3145,E 84 St & Park Ave,40.77862688,-73.95772073,3499,2 Ave & E 122 St,40.8006721,-73.9349,33765,Subscriber,1988,1
2861,2020-04-20 00:09:20.9000,2020-04-20 00:57:02.2960,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,31674,Customer,1969,0
2811,2020-04-20 00:09:29.7220,2020-04-20 00:56:20.9190,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,31595,Customer,1969,0
2849,2020-04-20 00:09:35.7170,2020-04-20 00:57:05.2800,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,42840,Customer,1969,0
